,parents,has_nurs,form,children,housing,finance,social,health,target
364,1,0,1,3,1,0,2,2,0
299,1,1,1,1,0,1,1,0,1
117,1,2,3,3,0,0,2,1,1
343,0,4,3,1,0,0,2,1,0
219,1,0,1,2,1,1,2,0,0
428,1,3,1,1,2,0,1,0,0
300,1,2,1,1,1,0,0,2,1
334,0,0,2,1,2,0,2,2,1
184,2,2,1,0,1,0,1,2,1
366,1,2,3,2,2,0,1,1,1
303,1,4,1,1,0,1,2,0,0
302,0,1,3,2,0,0,0,2,1
268,1,1,1,3,2,1,1,0,0
151,1,2,1,2,2,0,1,2,1
152,2,1,0,1,1,1,0,1,0
290,0,3,1,2,1,0,1,1,2
141,2,1,0,2,0,1,0,0,0
409,1,3,2,2,0,0,1,1,1
288,1,1,3,0,0,1,2,1,1
349,0,4,0,1,1,1,0,1,1
155,0,2,2,2,2,0,2,1,2
381,0,3,1,2,0,0,2,1,1
273,1,0,2,3,1,0,1,1,1
66,2,2,1,1,0,1,1,0,1
330,1,2,2,1,2,0,1,1,1
100,1,1,2,2,2,1,1,1,2
403,1,2,0,2,1,1,2,1,1
340,1,3,1,1,0,0,2,1,1
208,1,0,1,3,0,1,2,1,1
90,2,1,3,1,1,0,0,2,1
311,0,1,2,1,0,0,2,0,0
39,1,4,2,0,2,0,1,1,0
118,0,1,2,1,0,1,1,0,0
237,1,4,0,2,0,1,0,2,2
188,1,2,3,0,1,1,1,2,1
405,2,3,1,0,2,0,0,1,1
261,0,1,2,1,1,1,0,2,2
52,2,1,2,0,2,0,0,1,1
297,0,3,0,2,2,1,0,0,0
80,1,2,1,2,1,0,2,1,1
292,0,4,2,1,1,0,2,1,1
287,2,1,0,2,2,0,0,2,0
128,2,1,3,2,1,1,2,1,1
6,1,2,3,0,1,1,1,0,2
125,2,2,1,0,0,1,2,1,1
204,1,1,0,1,1,1,2,2,1
167,1,2,0,3,1,0,1,0,0
163,2,0,1,3,2,1,1,1,1
241,0,1,2,3,2,1,0,1,2
321,2,0,3,1,0,0,2,2,1
169,1,0,0,0,1,0,0,2,0
129,1,0,1,2,2,0,2,0,0
338,2,3,2,2,0,0,2,0,0
107,2,2,0,0,1,1,0,1,1
142,0,3,3,1,2,0,2,2,2
88,1,0,1,0,2,0,1,1,1
221,1,1,0,3,0,0,1,0,1
49,1,0,3,1,0,1,2,1,2
304,2,0,2,3,1,0,0,1,1
277,0,4,3,1,0,0,2,2,1
230,1,3,2,2,1,1,2,1,2
214,2,2,0,1,0,0,2,1,1
51,0,2,0,2,1,1,2,1,0
215,1,3,1,2,2,1,1,2,2
28,0,0,2,1,0,0,0,1,2
149,0,0,0,1,1,1,2,1,2
40,1,2,2,1,1,1,1,2,2
201,1,2,3,1,1,0,2,2,1
13,1,4,2,0,1,1,0,1,1
272,2,1,3,0,2,1,0,2,1
112,0,1,1,3,2,1,1,1,2
85,1,3,2,1,2,0,0,1,1
336,1,1,0,3,1,0,1,0,0
147,2,3,1,1,0,0,0,1,0
57,0,1,2,3,1,1,1,1,0
389,1,0,1,1,2,1,0,2,1
114,2,1,2,3,0,1,1,1,1
293,2,3,0,2,2,1,1,0,0
200,2,1,1,2,2,1,1,1,1
247,2,3,3,1,2,1,0,1,2
203,2,0,1,2,2,0,1,1,1
424,1,4,2,1,1,0,0,2,1
317,2,2,0,1,2,0,0,2,1
68,0,4,2,0,1,1,1,1,2
251,0,1,3,3,0,0,1,2,1
333,2,2,2,0,1,1,1,0,0
274,0,1,0,1,0,1,0,0,0
386,1,3,1,0,1,0,1,0,0
416,2,1,3,0,1,0,2,1,1
307,0,2,2,2,2,1,2,0,0
378,0,2,1,0,0,1,1,0,0
279,1,1,1,3,1,0,1,1,1
310,1,3,0,2,1,1,0,1,1
93,2,4,2,1,1,0,2,0,0
371,2,1,0,2,2,0,1,2,1
278,2,0,2,0,2,1,1,0,1
109,2,1,3,1,1,1,1,0,0
216,0,1,1,3,1,0,0,0,0
137,2,4,1,1,1,0,1,1,2
408,2,1,1,1,2,1,0,2,2
