,parents,has_nurs,form,children,housing,finance,social,health,target
54,1,2,1,2,2,1,1,0,0
108,2,0,1,1,0,0,0,2,1
476,2,4,1,2,1,1,0,0,0
453,1,3,1,2,0,1,2,0,0
177,1,2,2,0,1,1,2,0,0
51,0,2,3,3,2,1,1,1,2
107,2,1,3,3,0,1,1,1,1
137,2,3,1,3,2,0,1,1,1
295,2,1,0,3,0,1,0,1,1
329,1,3,0,1,1,1,1,1,1
391,2,3,0,2,0,1,1,2,1
22,2,3,2,3,1,1,2,0,0
31,1,1,0,3,0,1,2,0,0
456,2,0,3,1,0,1,2,1,1
10,1,4,2,0,0,0,2,1,2
384,0,4,2,0,1,0,2,1,2
132,1,3,3,3,1,0,0,1,1
18,2,1,3,3,0,0,0,1,1
229,0,2,2,3,1,0,0,0,0
351,0,1,2,3,1,1,1,2,2
298,0,4,2,1,0,0,2,1,2
66,2,2,1,3,0,1,2,0,0
333,1,2,2,0,0,0,0,0,0
285,0,4,3,3,0,1,1,2,2
32,2,4,1,1,2,1,2,2,2
171,1,2,0,3,0,1,1,1,1
240,1,1,0,2,2,0,2,1,2
354,1,1,3,3,0,1,1,0,0
383,2,2,1,2,1,0,1,2,1
286,2,1,0,1,0,1,2,1,1
301,2,4,3,0,2,0,2,0,0
450,0,0,0,1,0,1,1,2,2
188,2,3,1,1,1,1,1,1,1
403,2,3,0,1,1,0,2,0,0
379,1,4,2,1,0,1,1,1,2
273,1,3,2,2,0,1,2,0,0
335,2,3,1,3,2,1,1,0,0
213,2,1,1,3,1,1,2,2,1
73,2,3,0,1,2,1,1,1,1
233,2,3,1,3,2,1,1,1,1
378,1,4,2,2,1,0,1,1,2
0,2,0,3,3,0,1,0,0,0
425,2,4,3,2,0,1,2,2,1
104,0,2,0,2,1,0,2,1,2
461,0,2,3,1,0,0,2,0,0
376,2,0,2,3,1,0,1,1,2
148,0,2,3,0,0,1,2,0,0
241,1,0,3,3,2,1,1,1,2
90,2,2,0,1,1,1,1,2,1
162,1,2,1,2,1,0,2,0,0
264,1,2,1,0,0,0,1,0,0
211,0,3,2,1,2,0,2,2,1
483,2,0,1,1,0,1,2,2,1
217,0,3,2,1,2,0,2,0,0
324,1,1,1,0,2,1,2,1,1
488,0,4,3,2,0,0,0,0,0
242,1,3,2,0,1,1,2,2,1
336,1,3,2,0,1,0,2,0,0
238,1,3,3,0,2,0,2,2,3
271,1,1,2,2,1,1,2,1,2
30,1,1,0,0,1,0,2,2,1
45,2,0,3,3,0,1,2,2,1
397,0,3,1,0,1,1,0,0,0
75,1,2,3,0,1,0,1,0,0
87,2,1,1,3,2,1,2,1,1
373,0,3,2,3,2,1,2,0,0
291,1,4,0,2,2,0,0,1,2
65,0,1,2,3,2,1,1,2,2
396,0,2,3,2,1,0,0,0,0
408,2,1,2,1,2,0,2,0,0
139,1,0,3,3,1,1,1,1,2
337,2,3,1,3,0,0,1,1,1
12,1,4,0,1,1,0,2,1,2
369,2,1,1,1,0,0,1,1,1
155,1,0,2,1,2,0,1,2,2
262,1,4,0,2,2,1,0,0,0
145,1,1,0,0,0,0,0,2,1
144,1,3,0,0,1,0,0,1,1
168,2,0,0,2,1,1,2,1,1
290,2,0,3,1,2,0,2,0,0
353,0,2,0,2,2,0,2,0,0
390,2,0,2,2,2,1,2,2,1
477,0,0,2,3,2,0,1,2,2
115,1,2,1,1,1,1,1,0,0
99,0,4,1,2,0,0,2,0,0
215,1,3,1,3,2,1,1,0,0
49,1,1,0,3,1,1,0,0,0
98,2,4,3,2,1,1,2,1,2
406,1,4,0,2,2,0,2,0,0
69,1,4,2,1,2,1,2,2,2
84,0,4,1,1,2,0,1,1,2
352,0,1,0,2,2,1,1,1,2
277,2,3,3,0,1,1,1,1,1
2,1,1,1,0,2,0,2,2,1
13,0,1,2,3,0,1,0,1,2
261,2,3,3,2,0,1,1,2,1
102,0,4,0,3,1,1,0,2,2
407,1,1,0,1,2,1,0,1,1
154,2,0,3,0,1,0,2,1,2
96,1,2,2,1,2,1,1,1,1
