,parents,has_nurs,form,children,housing,finance,social,health,target
1442,1,2,0,2,0,1,2,2,1
1069,2,0,3,0,1,0,0,1,1
1648,1,1,0,2,0,0,2,1,1
600,1,0,3,0,1,1,1,1,2
637,1,4,0,3,2,0,2,1,2
458,1,2,2,3,0,0,2,1,1
1455,0,1,3,0,0,0,0,0,0
1916,1,4,0,1,1,1,1,2,2
175,0,2,3,3,2,1,1,0,0
355,1,0,0,0,0,0,2,1,2
1038,1,0,1,1,1,0,1,1,2
975,0,3,1,1,2,0,0,2,1
274,0,0,3,3,1,1,2,2,0
859,0,1,3,0,2,0,0,1,1
551,2,3,3,2,2,0,0,2,1
1601,1,1,2,2,0,1,2,0,0
432,0,0,1,1,1,1,0,0,0
862,1,3,3,1,0,0,0,2,1
974,1,0,3,0,2,0,1,2,1
1372,2,3,1,3,2,1,1,2,1
1114,1,0,2,3,1,0,1,1,2
311,0,4,0,1,1,1,2,2,2
1901,0,3,3,0,2,1,2,0,0
2039,1,3,2,2,2,1,0,0,0
2493,0,4,0,1,0,1,0,1,2
2412,1,2,0,2,0,0,0,1,1
541,2,3,0,3,2,0,1,1,1
831,2,0,2,3,2,0,2,1,2
2523,2,3,1,3,1,1,2,0,0
1740,2,1,0,0,2,1,0,1,2
2371,2,2,2,0,1,0,1,2,1
602,0,1,3,2,1,0,2,0,0
277,0,3,0,1,0,0,1,2,1
2192,0,4,1,3,1,1,2,1,2
1491,0,3,2,0,0,0,2,2,1
2056,1,2,2,2,2,0,1,0,0
688,0,0,3,0,1,0,0,0,0
1698,2,1,2,0,1,1,1,2,1
1576,0,3,0,1,2,0,2,2,1
1425,2,0,2,1,0,1,2,0,0
1568,1,0,1,1,1,1,2,2,2
144,1,0,2,3,2,0,1,1,2
2425,0,0,3,2,1,1,2,0,0
942,0,2,3,0,1,1,2,2,1
220,0,1,1,0,1,0,2,1,2
2090,0,1,1,0,0,1,1,0,0
1559,1,2,2,0,0,0,1,1,1
455,1,3,2,1,1,0,2,1,1
706,2,0,1,2,1,1,1,1,1
1773,0,4,3,1,1,1,0,0,0
372,0,3,3,3,2,0,2,1,1
2445,0,2,3,2,2,1,0,2,1
423,2,4,1,2,0,1,1,1,2
854,2,0,1,2,2,1,1,0,0
639,2,4,1,0,0,1,0,0,0
1101,0,2,3,2,2,1,1,1,1
1692,2,2,3,0,1,1,0,0,0
2326,2,1,0,3,1,1,0,2,1
993,0,1,1,3,1,1,2,2,2
380,1,0,2,1,1,0,0,2,2
1734,1,4,1,3,1,1,0,1,2
534,2,4,1,1,0,0,0,1,2
2328,1,1,3,0,1,0,1,0,0
2532,2,0,0,3,2,1,0,1,2
681,0,3,0,3,0,1,1,0,0
1525,2,3,0,3,2,0,2,2,1
2057,1,1,3,1,0,0,0,1,1
1474,1,0,1,3,1,0,1,1,2
2220,2,1,3,3,0,1,2,0,0
295,2,2,1,3,0,1,2,2,1
680,1,4,0,3,0,1,1,0,0
2450,0,1,0,3,1,0,0,0,0
1367,0,1,2,2,1,0,2,1,2
210,2,4,2,3,1,1,2,0,0
837,2,4,2,2,2,0,2,1,2
322,0,4,1,2,2,0,0,1,2
1152,1,2,3,3,1,0,0,2,1
1911,2,0,3,3,1,0,2,2,1
2339,1,4,3,0,1,1,1,1,2
958,0,0,1,2,2,0,0,1,2
2231,0,1,0,1,0,1,1,0,0
1556,0,2,2,0,2,1,0,1,2
852,0,4,3,3,0,1,0,0,0
105,1,2,1,1,1,0,0,1,1
697,2,3,2,1,0,1,1,2,1
1040,2,1,3,2,0,0,1,2,1
1060,2,1,0,0,1,0,1,0,0
1567,2,4,0,3,0,0,2,0,0
2260,0,1,0,1,1,1,1,1,2
567,0,0,0,3,1,1,2,1,2
845,2,1,2,1,1,0,2,0,0
319,2,1,3,0,2,0,2,2,1
281,0,0,2,1,0,1,2,2,2
2123,2,0,3,1,0,1,1,1,2
1242,2,1,1,1,1,0,0,1,1
2100,1,1,2,2,2,0,2,0,0
1765,1,2,0,1,0,0,1,1,1
2110,2,0,0,1,1,1,0,2,2
489,2,0,0,3,2,0,2,2,3
2310,2,4,0,0,0,0,2,2,1
