,parents,has_nurs,form,children,housing,finance,social,health,target
184,2,0,2,2,1,0,1,1,1
361,2,3,0,2,2,1,0,1,2
495,2,2,3,1,0,0,2,0,1
112,2,0,1,1,0,0,2,0,0
88,2,2,3,1,2,0,1,1,0
481,0,1,3,1,0,1,2,1,1
446,1,4,3,0,1,0,2,2,2
263,2,4,3,0,1,0,0,1,1
49,1,4,0,3,0,0,2,1,2
69,1,4,1,3,2,0,2,1,0
312,2,3,1,3,0,0,1,2,2
499,2,3,0,2,1,1,1,2,1
366,2,2,3,0,0,1,1,2,1
35,2,2,3,2,2,1,1,1,1
487,0,3,0,0,1,0,0,2,1
351,0,1,2,1,1,1,2,0,1
131,0,3,0,1,0,0,2,0,0
266,0,4,0,3,2,0,2,1,2
389,1,4,1,0,1,0,0,0,0
90,1,3,1,1,1,0,1,1,1
102,1,0,1,0,2,0,2,2,2
476,1,1,2,2,2,0,0,1,1
473,1,2,0,3,2,1,2,0,1
393,1,0,0,2,1,0,0,0,0
378,2,4,1,1,2,1,2,1,1
108,2,0,2,1,1,0,1,1,1
12,1,2,1,0,0,1,2,1,2
123,1,4,3,1,0,1,0,1,0
422,2,0,0,0,1,1,2,2,2
94,2,3,2,3,0,0,0,2,1
221,1,2,0,1,1,1,0,0,0
95,0,2,0,0,1,1,2,1,0
71,2,0,2,0,1,1,1,1,0
251,1,0,1,2,2,1,2,1,1
492,1,2,2,3,1,1,1,1,0
421,0,3,2,3,2,0,0,1,0
91,2,2,0,0,0,1,0,2,0
297,2,0,1,0,0,1,2,2,0
38,2,1,1,2,2,1,0,2,1
497,2,1,3,0,1,1,1,0,0
381,2,3,1,2,0,0,1,2,2
496,1,0,2,3,2,1,0,2,1
272,0,3,0,2,0,0,2,1,1
454,0,2,2,2,1,0,1,2,2
18,1,1,1,3,0,0,0,2,0
151,0,2,0,0,1,1,0,2,2
135,0,4,0,0,1,1,1,2,1
1,0,2,2,2,0,1,0,1,2
23,2,3,0,3,1,0,2,0,0
323,1,4,2,0,0,1,0,1,0
333,1,3,3,1,1,0,0,2,1
197,2,2,1,2,2,1,0,1,1
444,0,3,0,1,0,0,2,1,1
176,1,2,0,3,0,0,2,1,2
97,2,2,3,1,1,1,1,1,1
430,1,2,1,1,1,0,2,1,2
169,1,3,0,1,0,1,0,1,2
30,1,2,2,1,0,1,1,2,1
453,1,0,0,1,0,1,2,1,1
212,0,1,0,1,2,0,1,0,1
334,0,2,2,0,0,1,1,1,2
456,1,1,3,0,0,1,2,0,1
286,1,0,2,3,2,1,2,1,2
96,1,4,1,2,2,0,0,0,2
52,2,0,1,0,1,1,0,0,0
301,0,1,2,2,2,1,0,1,2
100,0,1,3,2,1,0,1,1,1
436,1,4,1,3,0,0,1,2,1
358,2,1,2,2,1,0,0,2,2
170,1,2,2,1,0,1,1,1,0
325,0,2,3,2,2,1,0,2,1
26,0,3,2,0,1,1,2,1,0
56,2,1,2,3,0,1,2,2,1
336,2,2,3,3,1,1,0,1,2
443,1,0,3,3,1,1,1,2,2
489,1,0,1,1,2,1,2,2,2
300,1,2,3,0,1,0,1,2,1
72,0,2,0,2,0,0,0,1,2
148,0,3,3,1,2,0,1,2,2
29,0,1,2,3,1,0,2,1,2
20,2,2,1,1,1,0,1,1,1
83,1,4,1,2,0,0,0,1,0
201,2,1,0,3,0,1,0,2,2
36,1,0,0,3,0,1,0,2,1
350,2,2,1,3,2,0,1,2,2
477,2,2,0,3,1,1,1,0,2
248,0,2,0,2,0,1,1,2,2
111,0,3,2,3,2,1,1,2,2
432,2,0,3,3,0,0,0,0,0
187,1,0,3,0,0,1,1,0,0
7,0,3,0,0,0,1,2,1,2
55,1,3,0,1,2,1,1,0,0
138,2,2,3,0,2,0,1,2,1
435,2,2,2,0,1,1,0,0,0
316,0,3,3,3,1,0,0,1,2
19,0,4,3,1,2,1,2,0,2
463,1,3,0,2,0,0,1,0,0
426,1,4,1,0,1,0,2,2,2
365,1,0,0,2,1,0,2,1,2
5,2,1,2,2,1,0,1,1,2
