,parents,has_nurs,form,children,housing,finance,social,health,target
1350,1,1,3,0,2,0,2,1,0
2441,2,1,0,3,2,1,1,0,1
100,2,1,0,2,2,1,0,2,2
925,1,0,2,2,0,0,0,0,2
240,2,2,2,2,0,1,0,1,2
537,0,2,1,0,1,0,1,1,2
1249,1,3,2,3,0,0,2,1,1
1581,1,0,0,3,0,1,0,1,2
1016,1,1,0,2,1,0,1,0,1
19,2,3,0,1,2,1,2,1,2
2243,0,4,0,3,1,0,1,0,0
1202,1,0,2,0,1,1,2,1,2
34,2,1,3,1,1,0,1,0,0
679,1,1,1,0,1,1,0,2,1
929,2,0,1,2,1,0,1,0,0
1501,1,0,0,0,2,1,2,1,2
1143,0,2,3,2,2,0,1,2,2
1257,0,1,3,2,0,1,1,2,2
2275,0,3,1,1,1,1,2,2,1
186,0,4,1,1,0,0,1,0,1
2473,2,2,2,2,2,0,0,1,1
1681,2,0,2,3,0,0,2,1,2
2103,1,2,0,2,1,1,0,1,1
962,1,0,2,0,0,1,0,1,0
1962,1,0,1,0,0,1,2,1,2
1998,1,0,3,2,1,1,1,2,1
375,2,2,1,1,2,0,1,1,0
453,2,4,0,3,2,1,2,2,0
2182,1,2,0,1,2,1,1,2,1
506,1,4,1,2,1,0,0,1,2
1208,0,3,0,3,2,1,1,0,0
1142,0,1,1,1,2,0,2,1,0
1268,2,0,1,3,0,1,0,2,2
2582,2,2,2,2,0,0,0,0,2
421,1,4,3,0,2,0,0,2,3
1421,1,0,0,3,1,1,2,1,0
2449,1,4,0,1,0,0,1,0,0
2372,1,0,3,3,0,1,1,1,1
189,2,3,2,0,2,1,0,2,0
2581,0,4,1,3,2,1,2,2,2
1517,2,1,1,0,0,1,1,1,2
1200,1,1,2,1,2,0,1,0,0
2131,0,3,1,1,1,1,2,0,2
1717,2,4,3,0,1,1,0,1,2
420,0,1,1,1,2,0,0,1,3
803,0,4,0,0,1,1,1,0,1
349,0,2,2,3,2,1,2,1,2
996,0,2,3,3,2,1,2,0,1
1075,1,1,3,0,0,1,2,1,0
2062,1,3,1,3,0,1,1,1,1
892,0,1,3,1,0,0,0,2,1
458,1,2,1,3,0,1,0,0,2
238,2,3,1,2,2,1,2,1,0
2113,2,4,2,2,1,0,0,0,0
1537,2,4,0,3,1,0,2,1,2
1553,1,3,2,3,2,1,1,2,1
466,0,3,2,2,1,1,0,2,1
1753,2,4,3,0,2,0,0,0,1
628,1,1,0,3,1,0,1,1,0
1412,2,3,0,1,0,1,2,0,1
1903,2,3,3,0,0,0,1,1,1
1176,1,0,0,3,0,1,0,2,1
2138,1,3,0,1,1,1,2,1,0
1057,1,4,2,3,2,0,2,2,2
1976,0,2,0,2,0,1,1,0,0
315,2,4,3,1,1,0,2,0,0
1002,0,2,0,2,0,1,2,1,1
270,1,4,3,2,0,0,1,1,3
1831,2,3,2,2,2,0,2,1,1
805,0,2,3,2,1,0,0,2,2
284,0,4,1,2,0,1,0,2,1
154,2,3,1,3,2,1,0,2,0
867,1,2,2,3,2,0,1,1,0
1083,1,1,3,3,1,1,0,2,2
626,2,3,3,2,0,0,2,0,2
1457,1,3,0,2,0,0,0,1,1
54,2,3,0,1,0,0,0,2,0
1985,1,4,3,0,0,0,1,0,1
719,1,4,2,1,0,1,0,1,2
661,1,1,0,0,0,1,2,2,2
2227,2,2,2,0,2,1,2,0,1
2129,0,4,1,0,1,0,2,0,1
2000,1,2,2,0,0,1,0,2,2
2068,2,4,2,1,1,0,2,2,2
159,2,3,3,1,1,1,2,1,0
660,1,4,2,0,1,0,1,1,1
503,0,0,3,2,2,1,1,0,2
1547,0,4,1,1,0,0,0,2,1
1835,2,0,3,3,2,1,1,0,0
1919,1,3,0,2,0,0,0,1,0
1790,0,4,2,3,0,1,1,0,2
1372,1,2,3,3,2,1,1,2,2
1900,1,3,1,0,0,1,1,2,2
2293,1,1,2,0,1,0,2,1,2
2341,1,2,0,1,0,0,2,2,0
965,2,4,3,1,1,1,1,0,0
172,0,3,2,0,1,1,0,1,0
1862,1,4,0,1,1,0,0,2,1
379,2,4,1,3,1,0,2,2,1
2526,1,1,2,3,2,1,0,1,2
